#date	id	ledger	title	who
2026-07-31	PLT-002	platform	Choose taskman tooling language and location
2026-07-31	PLT-003	platform	Build tm executable: add, go, done
2026-07-31	PLT-006	platform	Prevent next_id collisions across branches
2026-07-31	PLT-004	platform	Build find skill and history.tsv auto-search
2026-07-31	PLT-001	platform	Enforce record lifecycle via git hooks
2026-07-31	PLT-tf3z	platform	Reset task records when adopting the skeleton
2026-07-31	PLT-5pk8	platform	Add tasks from Telegram
2026-07-31	PLT-005	platform	Notify team Telegram bot from done
2026-07-31	PLT-2fyj	platform	Make Telegram notification-only
2026-07-31	PLT-h49x	platform	Drop the Telegram drain in favour of BotFather description
2026-07-31	PLT-us7k	platform	Put the agent-is-the-interface concept in the README
2026-07-31	PLT-uhhk	platform	Make the notifier swappable
2026-07-31	PLT-jcv5	platform	check --notify should not send unless asked
2026-07-31	PLT-rc4c	platform	Add a tm command to return a task from doing to open
2026-08-03	PLT-tdb5	platform	The platform nudges never fire in an adopted repo	stewart
2026-08-03	PLT-wxr5	platform	A nested adopt leaves root-relative paths everywhere	stewart
2026-08-03	PLT-x9wv	platform	nm still points at taskman, so promote and prune are broken	stewart
2026-08-03	PLT-gxq2	platform	An installed skeleton can update itself to a newer release	stewart
2026-08-03	PLT-qbnn	platform	An adopted repo is never told how to update	stewart
2026-08-03	PLT-ckkd	platform	Standup should show what is next and what was captured	stewart
2026-08-03	PLT-ty47	platform	.llmeep is the script and its own manifest	stewart
2026-08-03	PLT-hfwz	platform	Default the standup period to daily	stewart
2026-08-03	PLT-h6fq	platform	The working agreement belongs with the install, not at the root	stewart
2026-08-03	PLT-2mv7	platform	Standup headers should be bold in Telegram	stewart
2026-08-03	PLT-4hck	platform	check --notify cannot help you change an already-set chat	stewart
2026-08-03	PLT-97n3	platform	Split the backlog into a prioritised section and an unordered pool	stewart
2026-08-03	PLT-99e2	platform	Tag each standup line with its ledger	stewart
2026-08-03	PLT-hu8m	platform	Standup should show the backlog, with counts in both headers	stewart
2026-08-03	PLT-xt3h	platform	Record a filed date on tasks	stewart
2026-08-04	PLT-pq98	platform	Install everything under an llmeep/ folder by default	stewart
2026-08-04	PLT-s6zu	platform	Updating an existing install is broken by the llmeep/ move	stewart
2026-08-04	PLT-zud9	platform	Updating a nested install splits ontology in two	stewart
2026-08-04	PLT-brek	platform	Test the install lifecycle, not just the records	stewart
2026-08-04	PLT-cajd	platform	Decisions need a find before they could ever be pruned	stewart
2026-08-04	PLT-4jg2	platform	Prune decisions by staleness, not by superseded status	stewart
2026-08-04	PLT-hmy5	platform	Nothing tells an agent when to write a decision	stewart
2026-08-04	PLT-c4zq	platform	The taskman ontology is the file that actually fills context	stewart
2026-08-04	PLT-s9ea	platform	A kept file is overwritten by the next update	stewart
2026-08-04	PLT-a4ej	platform	Board listings should show the filed date on backlog lines	stewart
2026-08-04	PLT-947q	platform	Order the pool by filing date when listing it	stewart
2026-08-05	PLT-rg3w	platform	Pool lines sort by filing date but do not display it	stewart
2026-08-06	PLT-eb7v	platform	Post-install ontology prompt reads as mandatory	stewart
2026-08-06	PLT-8t5w	platform	Move llmeep's ontology under llmeep/ and make the project ontology a configured path	stewart
2026-08-10	PLT-43mh	platform	Opt in at install time to send improvement feedback upstream	stewart
2026-08-10	PLT-6tpx	platform	Sweep a defined set of repos for upstream feedback drafts	stewart
2026-08-10	PLT-fnxy	platform	Trim the tm skill back under its context budget	stewart
2026-08-12	PLT-a92c	platform	An install too old to write feedback sweeps as a quiet one	stewart
2026-08-12	PLT-tud8	platform	The ontology move left core.md linking through a doubled llmeep/ path	stewart
2026-08-12	PLT-gpq8	platform	Client installs are shown the maintainer-only sweep and offered to configure it	stewart
2026-08-12	PLT-8fmj	platform	A greenfield clone gets the maintainer sweep at its root	stewart
